13L;NINJA ZX 14 R SE;3
13M;NINJA ZX 14R OHLINS;3
[35;NINJA ZX 6 R;3
13C;NINJA ZX 6R ABS;3
13D;NINJA ZX 6R ABS SE;3
0KB;NINJA ZX14R;3
0KA;NINJA ZX6R;3
0C9;NINJA-RR KR150P;3
0HS;VERSYS;3
137;VERSYS;3
0C2;VERSYS 1000;3
13H;VERSYS 1000 NEW;3
0HT;VERSYS ABS;3
138;VERSYS ABS;3
13A;VERSYS ABS NEW;3
13B;VULCAN S NEW;3
1XF;W800;3
1XG;W800 SPECIAL EDITION;3
0HD;Z 250;3
0LU;Z 800;3
0T0;Z1000;3
13F;Z1000;3
13G;Z1000 SE;3
0TB;Z1000SE;3
1QF;Z125;3
0QH;Z800;3
13E;Z800;3
I84;ZONE R;3
I86;ZONE VR;3
D50;ZX 130 CC;3
H76;ZX 130 R;3
1LS;ZX636 ABS;3
506;A 100 VB/VR;4
511;A 100X SUPER VR/VB;4
1KC;ADDRESS FI 110;4
1KD;ADDRESS FI 110 R;4
10K;ADDRESS MOTOGP CLR;4
0YK;ADDRESS STANDARD;4
G04;ARASHI FD XCSD CW;4
F99;ARASHI FH 125 D;4
F98;ARASHI FH 125 M;4
F97;ARASHI FHB125 M;4
Y17;AXELO 125 SP KOPLING;4
]10;AXELO YOSIMURA;4
B73;BANDIT 250 GSF;4
133;BRAVO;4
307;BRAVO RC 100 DT;4
1MI;BRUGMAN 400;4
0X4;BURGMAN 200 ABS;4
480;COOL;4
017;CRYSTAL;4
129;ECONOS A 100;4
782;FD 125 XSD;4
X91;FL 125 RCD - AXELO;4
X90;FL 125 SCD - AXELO;4
F84;FU  150 SC;4
N45;FU 125 SC;4
B30;FU 150 SC;4
12F;FU 150 SCDX2 MOTO GP;4
504;FX - R;4
125;FXR 150;4
0KD;GSR 750;4
0X6;GSR 750;4
Q35;HAYABUSA GSX 1300RK8;4
Y86;HAYATE;4
09V;INAZUMA GW 250;4
0CD;LET'S CLASSIC;4
0CC;LET'S SPORTY;4
G13;N.SHGN FD125-XSDF FC;4
0L3;NEW SATRIA FACE LIFT;4
827;NEW SATRIA RU LSCM;4
B16;NEW SCORPIO;4
134;NEW SHOGUN 125;4
J92;NEW SHOGUN 125;4
J93;NEW SHOGUN 125 CW;4
K49;NEW SHOGUN CW NR;4
305;NEW SHOGUN E;4
O02;NEW SHOGUN INJECTION;4
306;NEW SHOGUN R;4
O61;NEW SHOGUN SPEED R;4
G21;NEW SMASH;4
G20;NEW SMASH - R;4
I09;NEW SMASH CW;4
K48;NEW SMASH CW NR;4
M31;NEW SMASH TROMOL;4
K03;NEWSHOGUN125KOPLING;4
0GQ;NEX BLACK FIRE;4
0BN;NEX FI;4
0GP;NEX FI BLACK FIRE;4
